"Key","LastModified","ETag","Size","StorageClass","Bucket"
"parsed/F9-P01-T00-SUMMARY-EZ-2013.rds","2023-03-21T19:12:28.000Z","""036729b542525a4381cdcff08eeeff8c-2""",9669722,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2014.csv","2023-03-21T19:12:32.000Z","""53a84610ada1418c4c773413850d0c21-8""",58747564,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2014.rds","2023-03-21T19:12:56.000Z","""a9ef26e40352313c0587037ebf0c41b5-2""",10779517,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2015.csv","2023-03-21T19:13:05.000Z","""ec0858c80d65571755be4a0310dff9bc-8""",62791904,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2015.rds","2023-03-21T19:13:34.000Z","""7d65e418b9ae6b19a1e3c0ed695e8b9a-2""",11211305,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2016.csv","2023-03-21T19:13:36.000Z","""57d5b41794efb3fc220ba11b54440500-8""",65506753,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2016.rds","2023-03-21T19:14:03.000Z","""fd56a5698f73c142c68005daaeb8eb84-2""",11376167,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2017.csv","2023-03-21T19:14:08.000Z","""f63c0d7853989bdd5ad08d983f365df7-9""",68414153,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2017.rds","2023-03-21T19:14:37.000Z","""8a7745908cf4be2688e8f3e62c914bfb-2""",12662795,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2018.csv","2023-03-21T19:14:37.000Z","""0878b186b9796721e2c0f52b4ffdf513-9""",71002988,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2018.rds","2023-03-21T19:15:07.000Z","""b96d689875797b28d1dc8979d3728081-2""",12312155,"STANDARD","nccs-efile"
